,enddate,adjusted_approve,adjusted_disapprove
0,2017-01-22,44.3154775,41.580005
1,2017-01-23,45.919855,44.42723
2,2017-01-24,46.2417288889,43.5074333333
3,2017-01-25,44.387285,41.9016991667
4,2017-01-26,45.6989657143,45.68974
5,2017-01-27,43.893162,46.3679
6,2017-01-28,44.8697157143,45.8864357143
7,2017-01-29,47.1561085714,46.1325985714
8,2017-01-30,46.24787,47.406322
9,2017-01-31,45.913935,47.18212
71,2017-02-01,46.1846814286,47.4040257143
82,2017-02-02,44.7668561538,47.9049353846
92,2017-02-03,45.293162,47.067898
93,2017-02-04,44.5681277778,47.4964088889
94,2017-02-05,45.99787,48.066323
95,2017-02-06,45.7522346154,48.7127646154
96,2017-02-07,45.418442,48.414671
97,2017-02-08,46.0083955556,48.8518777778
98,2017-02-09,46.5275371429,47.5325985714
72,2017-02-10,44.85543,48.7578657143
73,2017-02-11,44.733164,48.9679
74,2017-02-12,44.0419946154,50.4042469231
75,2017-02-13,45.7056954545,48.9812381818
76,2017-02-14,44.948442,49.074672
77,2017-02-15,46.3132514286,48.2897414286
78,2017-02-16,45.4989657143,49.1325971429
79,2017-02-17,43.55646875,51.44681625
80,2017-02-18,42.8541828571,51.3760814286
81,2017-02-19,44.1268407692,49.7281538462
83,2017-02-20,44.9860509091,49.0276327273
84,2017-02-21,43.0725072727,50.3959818182
85,2017-02-22,45.0576221429,48.0587807143
86,2017-02-23,44.69787,49.206322
87,2017-02-24,43.173162,49.5279
88,2017-02-25,43.773162,49.2879
89,2017-02-26,45.5572177778,48.7770822222
90,2017-02-27,45.1561085714,49.2897414286
91,2017-02-28,45.6275371429,48.6468842857
99,2017-03-01,45.148443,49.194672
110,2017-03-02,46.3132514286,47.76117
121,2017-03-03,45.173162,48.387898
124,2017-03-04,44.30004,49.3579477778
125,2017-03-05,45.7662985714,47.2358764286
126,2017-03-06,45.8979963636,47.90613
127,2017-03-07,44.6818966667,48.9617216667
128,2017-03-08,45.4132528571,48.4468842857
129,2017-03-09,45.79787,48.696323
100,2017-03-10,47.293162,46.3479
101,2017-03-11,46.0630857143,48.0116485714
102,2017-03-12,43.0410469231,51.2257869231
103,2017-03-13,44.6238844444,49.7215277778
104,2017-03-14,42.4855875,51.2069966667
105,2017-03-15,43.5989657143,50.4325971429
106,2017-03-16,44.3109628571,50.8033735714
107,2017-03-17,43.013164,50.4479
108,2017-03-18,40.953162,52.3879
109,2017-03-19,44.4572177778,49.4437488889
111,2017-03-20,44.3133236364,50.2094509091
112,2017-03-21,42.6622858333,50.7267
113,2017-03-22,43.9989657143,50.2325985714
114,2017-03-23,42.8355183333,51.7515875
115,2017-03-24,44.933164,48.8679
116,2017-03-25,43.1982871429,50.6150071429
117,2017-03-26,41.1418228571,51.8754542857
118,2017-03-27,40.6858076923,51.6655215385
119,2017-03-28,40.4149314286,52.4170978571
120,2017-03-29,39.9183918182,53.6309109091
122,2017-03-30,40.4590875,52.8708225
123,2017-03-31,43.933164,49.7279
130,2017-04-01,43.5411457143,50.7150071429
141,2017-04-02,42.2132514286,52.38974
152,2017-04-03,41.4187790909,52.9521518182
154,2017-04-04,42.898442,50.964671
155,2017-04-05,41.94892,53.1426677778
156,2017-04-06,41.2098491667,52.1167275
157,2017-04-07,42.853162,50.627898
158,2017-04-08,43.313164,50.2079
159,2017-04-09,43.5778890909,50.1225163636
131,2017-04-10,44.8989671429,49.1611685714
132,2017-04-11,43.2962807692,50.2568223077
133,2017-04-12,42.7147445455,50.9720590909
134,2017-04-13,43.97787,50.396322
135,2017-04-14,43.853162,50.147898
136,2017-04-15,44.0697157143,49.4435785714
137,2017-04-16,45.47061,48.814744
138,2017-04-17,44.3800022222,50.4062622222
139,2017-04-18,42.35485875,52.125933125
140,2017-04-19,44.0418242857,50.06117
142,2017-04-20,42.27192,51.8292388235
143,2017-04-21,41.793162,51.9479
144,2017-04-22,41.053162,52.247898
145,2017-04-23,43.4159522222,50.4333322222
146,2017-04-24,43.1009638462,51.3083984615
147,2017-04-25,42.4808035714,51.73424
148,2017-04-26,41.5989671429,52.8468842857
149,2017-04-27,41.9771858333,53.0349208333
150,2017-04-28,42.533162,50.967898
151,2017-04-29,42.75585,51.01459
153,2017-04-30,43.1349966667,51.15486
160,2017-05-01,43.5275371429,51.2183128571
171,2017-05-02,43.878442,50.074672
182,2017-05-03,44.07061,50.794744
185,2017-05-04,42.8507541667,51.2208225
186,2017-05-05,42.6722171429,50.9991357143
187,2017-05-06,42.0411457143,50.7435785714
188,2017-05-07,42.9703942857,50.7611685714
189,2017-05-08,42.6703942857,51.1325985714
190,2017-05-09,41.812285,52.4183658333
161,2017-05-10,41.8275385714,52.0040271429
162,2017-05-11,42.2084083333,51.9440658333
163,2017-05-12,41.993164,52.167898
164,2017-05-13,40.6293285714,53.1967142857
165,2017-05-14,40.2997963636,53.7574963636
166,2017-05-15,39.68468,54.6183114286
167,2017-05-16,39.228442,54.714671
168,2017-05-17,39.264318,54.591975
169,2017-05-18,38.6334091667,55.3273991667
170,2017-05-19,37.413162,55.747898
172,2017-05-20,39.4434577778,54.8757722222
173,2017-05-21,38.3132514286,55.3754557143
174,2017-05-22,39.1696154545,54.9332318182
175,2017-05-23,39.736774375,53.834474375
176,2017-05-24,40.4703942857,53.4325971429
177,2017-05-25,40.71787,53.806322
178,2017-05-26,39.933162,54.1079
179,2017-05-27,41.093162,53.127898
180,2017-05-28,41.3418228571,53.1183114286
181,2017-05-29,40.8703957143,53.8040271429
183,2017-05-30,40.2172183333,53.7676891667
184,2017-05-31,41.2609466667,53.6877433333
191,2017-06-01,39.76787,54.806322
202,2017-06-02,38.95543,55.9007228571
213,2017-06-03,38.453164,56.347898
215,2017-06-04,39.5989671429,55.3897414286
216,2017-06-05,39.6275371429,55.5611685714
217,2017-06-06,38.7198407143,55.5505028571
218,2017-06-07,39.38468,55.3325971429
219,2017-06-08,39.097871,55.486323
220,2017-06-09,38.973162,54.8679
192,2017-06-10,38.513162,55.987898
193,2017-06-11,38.7434581818,55.7989009091
194,2017-06-12,39.4010861538,54.7518338462
195,2017-06-13,39.948442,54.654671
196,2017-06-14,40.8275371429,54.4754542857
197,2017-06-15,41.38787,53.526322
198,2017-06-16,40.193162,54.347898
199,2017-06-17,37.793162,56.747898
200,2017-06-18,39.885725,54.8334314286
201,2017-06-19,39.4514336364,55.5786863636
203,2017-06-20,39.2587114286,55.49275
204,2017-06-21,41.4800022222,54.1173733333
205,2017-06-22,41.34787,53.386322
206,2017-06-23,38.753164,54.4479
207,2017-06-24,39.0411442857,54.9292942857
208,2017-06-25,38.72962,53.960745
209,2017-06-26,38.9275371429,54.9611685714
210,2017-06-27,40.7601875,53.498534375
211,2017-06-28,39.5703942857,54.7754557143
212,2017-06-29,39.2507541667,54.7874891667
214,2017-06-30,38.393164,54.987898
221,2017-07-01,38.633164,54.3079
232,2017-07-02,39.0989657143,54.6611685714
243,2017-07-03,38.8561085714,54.7325971429
246,2017-07-04,38.5529616667,55.250595
247,2017-07-05,38.5132514286,55.8183114286
248,2017-07-06,39.68787,55.056322
249,2017-07-07,39.053162,55.5679
250,2017-07-08,39.933162,55.0479
251,2017-07-09,40.6349955556,54.4881933333
222,2017-07-10,40.2826188889,54.5888877778
223,2017-07-11,40.208442,53.884671
224,2017-07-12,40.7681014286,54.5646342857
225,2017-07-13,39.8800530769,54.7011861538
226,2017-07-14,41.473162,53.867898
227,2017-07-15,40.5982871429,53.7435785714
228,2017-07-16,40.1973591667,54.3985308333
229,2017-07-17,39.4639511111,55.3407666667
230,2017-07-18,38.6105875,55.9069966667
231,2017-07-19,39.2545611111,55.2714388889
233,2017-07-20,38.4730625,55.6647925
234,2017-07-21,38.473162,54.947898
235,2017-07-22,38.793162,54.027898
236,2017-07-23,38.1418228571,55.5611685714
237,2017-07-24,38.4129290909,56.1929018182
238,2017-07-25,37.988442,56.144671
239,2017-07-26,37.3703942857,56.9468828571
240,2017-07-27,38.06787,56.116323
241,2017-07-28,38.053162,56.607898
242,2017-07-29,38.3697157143,56.4864357143
244,2017-07-30,36.7989657143,58.3183128571
245,2017-07-31,38.0908588889,57.5540711111
252,2017-08-01,36.537285,58.2850325
263,2017-08-02,36.8703942857,57.3468828571
274,2017-08-03,36.897871,57.216322
277,2017-08-04,36.973164,56.2279
278,2017-08-05,35.9565942857,57.4465914286
279,2017-08-06,37.03778625,57.53763375
280,2017-08-07,38.4242111111,56.3545333333
281,2017-08-08,37.718443,56.254671
282,2017-08-09,38.2146944444,55.8072988889
253,2017-08-10,39.230125,54.3001625
254,2017-08-11,38.713164,54.7079
255,2017-08-12,37.05865625,56.239845
256,2017-08-13,36.78468,56.4468842857
257,2017-08-14,38.6221141667,54.7904416667
258,2017-08-15,37.4802547059,55.7407494118
259,2017-08-16,35.7561085714,57.7040271429
260,2017-08-17,38.5543042857,56.0257942857
261,2017-08-18,36.413164,57.087898
262,2017-08-19,35.9001644444,57.9886811111
264,2017-08-20,36.3175809091,57.8370381818
265,2017-08-21,37.4711636364,57.2421290909
266,2017-08-22,37.7553342857,56.4320407143
267,2017-08-23,36.3703957143,57.4611685714
268,2017-08-24,36.69787,57.386322
269,2017-08-25,35.893162,58.147898
270,2017-08-26,36.273162,57.767898
271,2017-08-27,36.5989657143,57.4468828571
272,2017-08-28,38.0064290909,56.5959309091
273,2017-08-29,37.5742221429,56.8248264286
275,2017-08-30,36.58468,57.7754542857
276,2017-08-31,37.9507541667,56.8208225
283,2017-09-01,36.793162,57.947898
294,2017-09-02,37.533162,57.0679
305,2017-09-03,38.97944,55.4659711111
307,2017-09-04,39.1989657143,54.8754542857
308,2017-09-05,40.208442,54.294671
309,2017-09-06,39.98468,54.0897414286
310,2017-09-07,39.81787,54.116323
311,2017-09-08,39.753162,54.407898
312,2017-09-09,39.9272785714,54.2431614286
284,2017-09-10,38.6418228571,55.2754542857
285,2017-09-11,37.87944,55.1770833333
286,2017-09-12,37.3870783333,55.5025816667
287,2017-09-13,38.369621,54.200746
288,2017-09-14,39.0177785714,54.5144164286
289,2017-09-15,37.933162,56.4479
290,2017-09-16,40.2059428571,54.2687928571
291,2017-09-17,39.66833,54.3437488889
292,2017-09-18,39.2802781818,54.5034081818
293,2017-09-19,39.7719107692,52.7106361538
295,2017-09-20,39.25597375,54.4223475
296,2017-09-21,40.5415666667,54.0102766667
297,2017-09-22,38.273164,54.9679
298,2017-09-23,39.693164,53.587898
299,2017-09-24,38.6597081818,54.7043354545
300,2017-09-25,39.4861733333,54.4963233333
301,2017-09-26,38.7278614286,55.3541171429
302,2017-09-27,37.7580608333,55.9026425
303,2017-09-28,38.71248,55.5077125
304,2017-09-29,38.653162,55.9479
306,2017-09-30,38.693162,56.007898
10,2017-10-01,38.9352654545,55.8375136364
21,2017-10-02,37.7439166667,57.4721333333
32,2017-10-03,39.398442,55.894672
35,2017-10-04,38.9532683333,55.23229
36,2017-10-05,38.9418228571,55.5754542857
37,2017-10-06,37.933162,56.467898
38,2017-10-07,36.993162,57.307898
39,2017-10-08,36.9136788889,57.1794266667
40,2017-10-09,37.5461066667,56.5881944444
11,2017-10-10,38.328445,55.4923007143
12,2017-10-11,37.8582683333,55.6406233333
13,2017-10-12,38.0703942857,55.5754557143
14,2017-10-13,37.933164,55.9079
15,2017-10-14,39.8459385714,55.1287142857
16,2017-10-15,38.5881066667,55.75945
17,2017-10-16,38.233885,55.79269
18,2017-10-17,38.069621,56.230745
19,2017-10-18,37.2961771429,57.2096907143
20,2017-10-19,37.2418242857,57.1325985714
22,2017-10-20,36.55198,57.9219685714
23,2017-10-21,36.713162,57.3279
24,2017-10-22,36.5418242857,57.2325971429
25,2017-10-23,37.3461066667,56.7881933333
26,2017-10-24,37.0939208333,57.2069966667
27,2017-10-25,38.1360257143,56.2335792857
28,2017-10-26,37.1591388889,57.1517422222
29,2017-10-27,36.953162,57.347898
30,2017-10-28,37.013162,57.407898
31,2017-10-29,37.0750622222,56.9852111111
33,2017-10-30,37.7356946154,56.5880153846
34,2017-10-31,38.248443,56.644671
41,2017-11-01,38.0987473333,57.0439786667
52,2017-11-02,37.6132528571,57.1897414286
63,2017-11-03,37.8423085714,57.1751628571
65,2017-11-04,36.353164,57.987898
66,2017-11-05,37.468975,56.671084
67,2017-11-06,38.3238844444,55.7881944444
68,2017-11-07,37.348442,56.504671
69,2017-11-08,38.214935,55.1889575
70,2017-11-09,38.57962,55.870745
42,2017-11-10,36.793162,57.9479
43,2017-11-11,37.8268585714,56.2864371429
44,2017-11-12,39.4418228571,54.8468842857
45,2017-11-13,38.9740246154,55.4103976923
46,2017-11-14,37.91764,56.3812416667
47,2017-11-15,38.634844,55.561784
48,2017-11-16,38.1132514286,55.48974
49,2017-11-17,38.793162,55.7079
50,2017-11-18,38.653162,56.0679
51,2017-11-19,38.5905511111,55.3326377778
53,2017-11-20,37.8685290909,56.3560136364
54,2017-11-21,38.323745,55.0625808333
55,2017-11-22,37.693162,56.187898
56,2017-11-23,36.8087,58.1283433333
57,2017-11-24,37.513162,56.407898
58,2017-11-25,39.02686,55.07215
59,2017-11-26,38.2989657143,55.56117
60,2017-11-27,38.2132514286,55.5325985714
61,2017-11-28,38.5131046154,55.9216738462
62,2017-11-29,37.5770322222,55.5458277778
64,2017-11-30,37.58468,56.4183114286
